/users/acr23hk/.conda/envs/paper1/lib/python3.8/site-packages/setuptools/_distutils/version.py
[09/15 00:34:03 detectron2]: Rank of current process: 0. World size: 4
[09/15 00:34:03 detectron2]: Full config saved to checkpoints/voc/1726356812/base1/config.yaml
[09/15 00:34:04 detectron2]: [Refine] n = 24, α = 0.1
[09/15 00:34:19 d2.data.build]: Removed 1920 images with no usable annotations. 14631 images left.
[09/15 00:34:19 d2.data.dataset_mapper]: [DatasetMapper] Augmentations used in training: [ResizeShortestEdge(short_edge_length=..., max_size=1333, sample_style='choice'), RandomFlip()]
[09/15 00:34:19 d2.data.build]: Using training sampler TrainingSampler
[09/15 00:34:20 d2.data.common]: Serializing 14631 elements to byte tensors and concatenating them all ...
[09/15 00:34:20 d2.data.common]: Serialized dataset takes 6.67 MiB
[09/15 00:34:21 fvcore.common.checkpoint]: [Checkpointer] Loading from ./pretrain/R-101.pkl ...
[09/15 00:34:21 fvcore.common.checkpoint]: Reading a file from 'torchvision'
WARNING [09/15 00:34:21 fvcore.common.checkpoint]: Some model parameters or buffers are not found in the checkpoint:
proposal_generator.rpn_head.anchor_deltas.{bias, weight}
proposal_generator.rpn_head.conv.{bias, weight}
proposal_generator.rpn_head.objectness_logits.{bias, weight}
refine.centroids
refine.fc.{bias, weight}
roi_heads.box_predictor.bbox_pred.{bias, weight}
roi_heads.box_predictor.cls_score.{bias, weight}
WARNING [09/15 00:34:21 fvcore.common.checkpoint]: The checkpoint state_dict contains keys that are not used by the model:
  stem.fc.{bias, weight}
[09/15 00:34:21 d2.engine.train_loop]: Starting training from iteration 0
[09/15 00:34:50 d2.utils.events]:  eta: 1:34:55  iter: 19  total_loss: 1.641  loss_cls: 0.6298  loss_box_reg: 0.09006  loss_rpn_cls: 0.6894  loss_rpn_loc: 0.2287  time: 0.3175  data_time: 1.1447  lr: 0.0038162  max_mem: 6738M
[09/15 00:34:56 d2.utils.events]:  eta: 1:33:09  iter: 39  total_loss: 1.452  loss_cls: 0.3704  loss_box_reg: 0.1816  loss_rpn_cls: 0.6562  loss_rpn_loc: 0.217  time: 0.3121  data_time: 0.0267  lr: 0.0078122  max_mem: 6738M
[09/15 00:35:02 d2.utils.events]:  eta: 1:30:30  iter: 59  total_loss: 1.379  loss_cls: 0.3867  loss_box_reg: 0.2509  loss_rpn_cls: 0.5506  loss_rpn_loc: 0.2192  time: 0.3032  data_time: 0.0265  lr: 0.011808  max_mem: 6738M
[09/15 00:35:08 d2.utils.events]:  eta: 1:30:00  iter: 79  total_loss: 1.187  loss_cls: 0.364  loss_box_reg: 0.2208  loss_rpn_cls: 0.4073  loss_rpn_loc: 0.2133  time: 0.3023  data_time: 0.0310  lr: 0.015804  max_mem: 6738M
[09/15 00:35:14 d2.utils.events]:  eta: 1:28:55  iter: 99  total_loss: 1.254  loss_cls: 0.4008  loss_box_reg: 0.2813  loss_rpn_cls: 0.3578  loss_rpn_loc: 0.2062  time: 0.3002  data_time: 0.0224  lr: 0.0198  max_mem: 6738M
[09/15 00:35:20 d2.utils.events]:  eta: 1:30:23  iter: 119  total_loss: 1.176  loss_cls: 0.355  loss_box_reg: 0.2052  loss_rpn_cls: 0.3758  loss_rpn_loc: 0.2442  time: 0.3066  data_time: 0.0314  lr: 0.02  max_mem: 6738M
[09/15 00:35:27 d2.utils.events]:  eta: 1:31:16  iter: 139  total_loss: 1.186  loss_cls: 0.3576  loss_box_reg: 0.2271  loss_rpn_cls: 0.3798  loss_rpn_loc: 0.2337  time: 0.3120  data_time: 0.0308  lr: 0.02  max_mem: 6738M
[09/15 00:35:34 d2.utils.events]:  eta: 1:32:24  iter: 159  total_loss: 1.183  loss_cls: 0.3925  loss_box_reg: 0.2319  loss_rpn_cls: 0.3761  loss_rpn_loc: 0.1889  time: 0.3140  data_time: 0.0327  lr: 0.02  max_mem: 6738M
[09/15 00:35:41 d2.utils.events]:  eta: 1:32:56  iter: 179  total_loss: 1.141  loss_cls: 0.3409  loss_box_reg: 0.2115  loss_rpn_cls: 0.3529  loss_rpn_loc: 0.2293  time: 0.3179  data_time: 0.0258  lr: 0.02  max_mem: 6738M
[09/15 00:35:48 d2.utils.events]:  eta: 1:33:12  iter: 199  total_loss: 1.149  loss_cls: 0.3552  loss_box_reg: 0.2274  loss_rpn_cls: 0.3396  loss_rpn_loc: 0.2276  time: 0.3194  data_time: 0.0279  lr: 0.02  max_mem: 6738M
[09/15 00:35:55 d2.utils.events]:  eta: 1:34:14  iter: 219  total_loss: 1.085  loss_cls: 0.3494  loss_box_reg: 0.218  loss_rpn_cls: 0.336  loss_rpn_loc: 0.2166  time: 0.3232  data_time: 0.0249  lr: 0.02  max_mem: 6738M
